"cell_id","cell_lon","cell_lat","year","month","ym","xco2_mean_oco2_oco3","xco2_mean_gosat2","n_obs_oco2_oco3","n_obs_gosat2","diff_ppm","media_ppm","season"
"-44.5_-6.5",-44.5,-6.5,2021,8,"2021-08",413.86353762515,415.904663085938,222,3,2.04112546078795,414.884100355544,"seca"
"-45.5_-3.5",-45.5,-3.5,2020,7,"2020-07",412.590848650251,414.622202555339,28,3,2.03135390508743,413.606525602795,"seca"
"-45.5_-4.5",-45.5,-4.5,2022,7,"2022-07",417.305900396303,417.637868245443,43,3,0.331967849140028,417.471884320873,"seca"
"-45.5_-6.5",-45.5,-6.5,2024,8,"2024-08",421.877829758819,424.326293945312,419,3,2.44846418649314,423.102061852066,"seca"
"-45.5_-7.5",-45.5,-7.5,2024,8,"2024-08",422.279111166136,426.450866699219,211,3,4.17175553308277,424.364988932677,"seca"
"-46.5_-4.5",-46.5,-4.5,2019,8,"2019-08",409.260774230957,412.773284912109,20,6,3.51251068115232,411.017029571533,"seca"
"-46.5_-4.5",-46.5,-4.5,2021,7,"2021-07",414.711426412648,417.00239054362,145,3,2.29096413097164,415.856908478134,"seca"
"-46.5_-4.5",-46.5,-4.5,2021,8,"2021-08",412.993651362828,415.306986490885,280,3,2.31333512805759,414.150318926857,"seca"
"-46.5_-7.5",-46.5,-7.5,2019,6,"2019-06",410.361032909817,412.359130859375,288,3,1.99809794955786,411.360081884596,"seca"
"-46.5_-7.5",-46.5,-7.5,2019,7,"2019-07",409.863506391612,412.583129882812,461,3,2.71962349120037,411.223318137212,"seca"
"-46.5_-7.5",-46.5,-7.5,2019,8,"2019-08",408.725142785736,412.11994934082,401,4,3.39480655508447,410.422546063278,"seca"
"-46.5_-7.5",-46.5,-7.5,2019,9,"2019-09",410.733047485352,411.335489908854,16,3,0.602442423502623,411.034268697103,"seca"
"-46.5_-7.5",-46.5,-7.5,2024,6,"2024-06",423.487901167436,424.461680094401,11,3,0.973778926964997,423.974790630919,"seca"
"-46.5_-8.5",-46.5,-8.5,2019,7,"2019-07",409.355853469283,413.674275716146,432,6,4.31842224686233,411.515064592715,"seca"
"-46.5_-8.5",-46.5,-8.5,2024,8,"2024-08",422.049265801152,425.756184895833,79,3,3.70691909468121,423.902725348493,"seca"
"-47.5_-11.5",-47.5,-11.5,2024,8,"2024-08",421.843699257755,423.849131266276,338,3,2.00543200852132,422.846415262015,"seca"
"-47.5_-5.5",-47.5,-5.5,2020,8,"2020-08",411.01112389943,413.982096354167,63,3,2.97097245473714,412.496610126798,"seca"
"-47.5_-5.5",-47.5,-5.5,2023,7,"2023-07",419.217529296875,420.553487141927,3,3,1.33595784505206,419.885508219401,"seca"
"-47.5_-5.5",-47.5,-5.5,2023,9,"2023-09",418.166648569687,419.231953938802,181,3,1.06530536911544,418.699301254244,"seca"
"-47.5_-5.5",-47.5,-5.5,2024,8,"2024-08",423.167758503366,426.026824951172,235,5,2.85906644780584,424.597291727269,"seca"
"-47.5_-7.5",-47.5,-7.5,2019,5,"2019-05",408.760607449514,414.703440348307,106,3,5.94283289879377,411.73202389891,"seca"
"-47.5_-7.5",-47.5,-7.5,2019,7,"2019-07",409.71547463157,412.848718261719,55,5,3.1332436301492,411.282096446644,"seca"
